id,survey_date,stream,distance,type,species,gravel,life_stage,sex,adipose_fin,spawning_success,predation,notes,survey_year,carcass_age_hours,standard_length,width,redd_substrate,source,source_file,ec5_uuid,created_at,lat,lon,gps_accuracy,utm_northing,utm_easting,utm_zone,photo,location,activity
110715001.0,2015-11-07,Piper's Creek,0,dead,chum,,adult,male,yes,unspawned,yes, original distance: Beach,2015,24.0,27.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715002.0,2015-11-07,Piper's Creek,0,dead,chum,,adult,male,yes,spawned,, original distance: Beach,2015,24.0,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715003.0,2015-11-07,Piper's Creek,0,dead,chum,,adult,male,yes,spawned,, original distance: Beach,2015,24.0,25.5,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715004.0,2015-11-07,Piper's Creek,0,dead,chum,,adult,male,yes,,yes, original distance: Beach,2015,24.0,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715005.0,2015-11-07,Piper's Creek,0,dead,chum,,adult,male,yes,,, original distance: Beach,2015,24.0,28.5,5.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715006.0,2015-11-07,Piper's Creek,200,dead,chum,,adult,male,yes,unspawned,yes,,2015,48.0,30.0,7.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715007.0,2015-11-07,Piper's Creek,200,dead,chum,,adult,male,yes,unspawned,yes,,2015,72.0,30.0,6.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715008.0,2015-11-07,Piper's Creek,300,dead,chum,,adult,male,yes,unspawned,yes,,2015,48.0,29.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715009.0,2015-11-07,Piper's Creek,400,dead,chum,,adult,male,yes,spawned,yes,,2015,72.0,26.5,4.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715010.0,2015-11-07,Piper's Creek,400,dead,chum,,adult,female,yes,spawned,yes,,2015,,28.0,4.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715011.0,2015-11-07,Piper's Creek,300,live,chum,,adult,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715012.0,2015-11-07,Piper's Creek,480,dead,chum,,adult,male,yes,partially spawned,yes,,2015,72.0,27.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715013.0,2015-11-07,Piper's Creek,500,dead,chum,,adult,male,yes,unspawned,yes,,2015,48.0,26.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715014.0,2015-11-07,Piper's Creek,510,dead,chum,,adult,male,yes,partially spawned,yes,,2015,72.0,30.0,6.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715015.0,2015-11-07,Piper's Creek,520,live,chum,,adult,male,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715016.0,2015-11-07,Piper's Creek,520,live,chum,,adult,male,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715017.0,2015-11-07,Piper's Creek,520,dead,chum,,adult,male,yes,partially spawned,yes,,2015,72.0,30.0,7.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715018.0,2015-11-07,Piper's Creek,520,dead,chum,,adult,male,yes,partially spawned,yes,,2015,72.0,28.0,4.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715019.0,2015-11-07,Piper's Creek,520,dead,chum,,adult,male,yes,spawned,yes,,2015,48.0,31.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715020.0,2015-11-07,Piper's Creek,600,live,chum,,adult,,yes,,no,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715021.0,2015-11-07,Piper's Creek,600,live,chum,,adult,female,yes,,no,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715022.0,2015-11-07,Piper's Creek,650,dead,chum,,adult,male,yes,unspawned,no,,2015,96.0,26.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715023.0,2015-11-07,Piper's Creek,790,dead,chum,,adult,male,yes,unspawned,no,,2015,48.0,27.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715024.0,2015-11-07,Piper's Creek,805,dead,chum,,adult,male,yes,partially spawned,no,,2015,48.0,31.0,7.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715025.0,2015-11-07,Piper's Creek,805,dead,chum,,adult,male,yes,partially spawned,no,,2015,96.0,27.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715026.0,2015-11-07,Piper's Creek,805,dead,chum,,adult,male,yes,partially spawned,no,,2015,72.0,27.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715027.0,2015-11-07,Piper's Creek,805,dead,chum,,adult,male,yes,partially spawned,no,,2015,96.0,29.0,6.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715028.0,2015-11-07,Piper's Creek,820,dead,chum,,adult,male,yes,spawned,partial,,2015,60.0,25.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715029.0,2015-11-07,Piper's Creek,820,remnant,chum,,adult,,yes,,no,,2015,72.0,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715030.0,2015-11-07,Piper's Creek,850,dead,chum,,adult,male,yes,partially spawned,no,,2015,72.0,27.0,6.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715031.0,2015-11-07,Piper's Creek,850,dead,chum,,adult,male,yes,partially spawned,no,,2015,72.0,28.0,5.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715032.0,2015-11-07,Piper's Creek,850,dead,chum,,adult,male,yes,unspawned,no,,2015,72.0,29.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715033.0,2015-11-07,Piper's Creek,850,dead,chum,,adult,male,yes,unspawned,yes,,2015,72.0,30.0,6.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715034.0,2015-11-07,Piper's Creek,850,dead,coho,,,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715035.0,2015-11-07,Piper's Creek,890,dead,chum,,adult,female,yes,spawned,yes,,2015,72.0,24.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715036.0,2015-11-07,Piper's Creek,910,dead,chum,,adult,female,yes,spawned,no,,2015,48.0,22.5,4.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715037.0,2015-11-07,Piper's Creek,1070,live,chum,,adult,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715038.0,2015-11-07,Piper's Creek,1110,dead,chum,,adult,male,yes,spawned,,,2015,48.0,30.0,7.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715039.0,2015-11-07,Piper's Creek,1145,dead,chum,,adult,male,yes,spawned,,,2015,72.0,28.0,5.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715040.0,2015-11-07,Piper's Creek,1210,dead,chum,,adult,female,yes,spawned,,,2015,48.0,25.5,5.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715041.0,2015-11-07,Piper's Creek,1250,dead,chum,,adult,female,yes,spawned,,,2015,72.0,27.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715042.0,2015-11-07,Piper's Creek,1250,dead,chum,,adult,male,yes,unspawned,,,2015,60.0,30.0,7.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715043.0,2015-11-07,Piper's Creek,1275,live,chum,,adult,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715044.0,2015-11-07,Piper's Creek,1275,live,chum,,adult,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715045.0,2015-11-07,Piper's Creek,1275,dead,chum,,adult,female,yes,spawned,,,2015,48.0,27.0,4.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715046.0,2015-11-07,Piper's Creek,1325,dead,chum,,adult,female,yes,spawned,,,2015,72.0,24.0,4.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715047.0,2015-11-07,Piper's Creek,1300,live,chum,,adult,male,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715048.0,2015-11-07,Piper's Creek,1500,dead,chum,,adult,male,yes,unspawned,,,2015,72.0,28.0,5.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715049.0,2015-11-07,Piper's Creek,1550,remnant,coho,,adult,male,,,,No head,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715050.0,2015-11-07,Piper's Creek,1700,dead,chum,,adult,male,yes,partially spawned,,,2015,48.0,30.0,6.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715051.0,2015-11-07,Piper's Creek,1710,remnant,chum,,adult,male,yes,spawned,,No head,2015,48.0,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715052.0,2015-11-07,Piper's Creek,1710,remnant,chum,,adult,male,,spawned,,No head,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715053.0,2015-11-07,Piper's Creek,1775,remnant,chum,,adult,male,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715054.0,2015-11-07,Piper's Creek,1775,remnant,chum,,adult,male,yes,,yes,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715055.0,2015-11-07,Piper's Creek,1800,live,chum,,adult,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715056.0,2015-11-07,Piper's Creek,1800,live,chum,,adult,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715057.0,2015-11-07,Piper's Creek,1800,live,chum,,adult,,,,,,2015,,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715058.0,2015-11-07,Piper's Creek,1825,dead,chum,,adult,male,yes,,yes,,2015,72.0,26.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715059.0,2015-11-07,Piper's Creek,1825,dead,chum,,adult,male,yes,unspawned,yes,,2015,60.0,30.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715060.0,2015-11-07,Piper's Creek,1840,dead,chum,,adult,male,yes,spawned,yes,,2015,72.0,28.0,6.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
110715061.0,2015-11-07,Piper's Creek,1875,dead,chum,,adult,male,yes,partially spawned,yes,,2015,72.0,28.0,5.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
111415001.0,2015-11-14,Piper's Creek,0,dead,coho,,adult,male,yes,partially spawned,yes," original distance: Beach
0 ft",2015,48.0,18.5,3.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
111415002.0,2015-11-14,Piper's Creek,0,remnant,coho,,,,no,,yes," original distance: Beach
0 ft",2015,72.0,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
111415003.0,2015-11-14,Piper's Creek,0,dead,chum,,adult,male,no,partially spawned,yes," original distance: Beach
0 ft",2015,72.0,26.0,5.0,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
111415004.0,2015-11-14,Piper's Creek,0,dead,chum,,adult,male,yes,,yes," original distance: Beach
0 ft",2015,72.0,24.0,5.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
111415005.0,2015-11-14,Piper's Creek,100,dead,chum,,adult,female,yes,spawned,no,Air Temp 52 °F,2015,72.0,25.0,4.5,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
111415006.0,2015-11-14,Piper's Creek,100,remnant,chum,,adult,,,,yes,,2015,72.0,,,,scanned,salmon_2015_scanned_raw.csv,,,,,,,,,,,
