id,survey_date,stream,distance,type,species,gravel,life_stage,sex,adipose_fin,spawning_success,predation,notes,survey_year,carcass_age_hours,standard_length,width,redd_substrate,source,source_file,ec5_uuid,created_at,lat,lon,gps_accuracy,utm_northing,utm_easting,utm_zone,photo,location,activity
111018001.0,2018-11-10,Piper's Creek,0,remnant,,,adult,female,,,scavenged, original distance: Beach,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018002.0,2018-11-10,Piper's Creek,0,remnant,chum,,adult,male,yes,,scavenged, original distance: Beach,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018003.0,2018-11-10,Piper's Creek,0,dead,chum,,adult,female,yes,spawned,, original distance: Beach,2018,24.0,26.0,5.0,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018004.0,2018-11-10,Piper's Creek,0,dead,chum,,adult,male,yes,partially spawned,y/p, original distance: Beach,2018,12.0,28.5,6.5,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018005.0,2018-11-10,Piper's Creek,0,dead,chum,,adult,male,yes,spawned,, original distance: Beach,2018,48.0,28.0,6.0,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018006.0,2018-11-10,Piper's Creek,125,remnant,,,adult,,,,,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018007.0,2018-11-10,Piper's Creek,130,remnant,chum,,adult,male,yes,spawned,,,2018,48.0,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018008.0,2018-11-10,Piper's Creek,130,remnant,,,adult,male,yes,,,,2018,8.0,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018009.0,2018-11-10,Piper's Creek,135,remnant,,,adult,,,,y/p,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018010.0,2018-11-10,Piper's Creek,180,remnant,coho,,adult,,,,scavenged,Heads only,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018011.0,2018-11-10,Piper's Creek,180,remnant,coho,,adult,,,,scavenged,Heads only,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018012.0,2018-11-10,Piper's Creek,180,remnant,coho,,adult,,,,scavenged,Heads only,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018013.0,2018-11-10,Piper's Creek,180,remnant,chum,,adult,,yes,,scavenged,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018014.0,2018-11-10,Piper's Creek,180,remnant,chum,,adult,,yes,,scavenged,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018015.0,2018-11-10,Piper's Creek,190,dead,chum,,adult,male,yes,spawned,scavenged,,2018,,33.0,7.0,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018016.0,2018-11-10,Piper's Creek,190,remnant,,,adult,,,,,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018017.0,2018-11-10,Piper's Creek,300,live,,,adult,,,,no,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018018.0,2018-11-10,Piper's Creek,300,live,,,adult,,,,no,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018019.0,2018-11-10,Piper's Creek,300,live,,,adult,,,,no,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018020.0,2018-11-10,Piper's Creek,330,dead,chum,,adult,female,yes,partially spawned,no,,2018,24.0,23.0,4.0,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018021.0,2018-11-10,Piper's Creek,400,remnant,,,adult,,,,scavenged,,2018,72.0,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018022.0,2018-11-10,Piper's Creek,420,dead,chum,,adult,female,yes,spawned,y/p,Very fresh,2018,1.0,26.5,4.5,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018023.0,2018-11-10,Piper's Creek,450,live,,,adult,,,,no,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018024.0,2018-11-10,Piper's Creek,450,live,,,adult,,,,no,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
111018025.0,2018-11-10,Piper's Creek,450,live,,,adult,,,,no,,2018,,,,,scanned,salmon_2018_scanned_raw.csv,,,,,,,,,,,
