id,survey_date,stream,distance,type,species,gravel,life_stage,sex,adipose_fin,spawning_success,predation,notes,survey_year,carcass_age_hours,standard_length,width,redd_substrate,source,source_file,ec5_uuid,created_at,lat,lon,gps_accuracy,utm_northing,utm_easting,utm_zone,photo,location,activity
111117036.0,2017-11-11,Piper's Creek,800,live,chum,-,adult,,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117037.0,2017-11-11,Piper's Creek,800,dead,coho,-,2 ?,,no,spawned,-,,2017,48.0,21.0,4.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117038.0,2017-11-11,Piper's Creek,800,dead,coho,-,2 ?,,no,spawned,-,,2017,48.0,22.0,4.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117039.0,2017-11-11,Piper's Creek,825,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117040.0,2017-11-11,Piper's Creek,825,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117041.0,2017-11-11,Piper's Creek,825,dead,chum,-,adult,female,yes,spawned,-,,2017,48.0,26.0,3.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117042.0,2017-11-11,Piper's Creek,825,dead,chum,-,adult,male,yes,partially spawned,scavenged,,2017,12.0,28.0,5.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117043.0,2017-11-11,Piper's Creek,825,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117044.0,2017-11-11,Piper's Creek,850,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117045.0,2017-11-11,Piper's Creek,850,live,chum,-,adult,male,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117046.0,2017-11-11,Piper's Creek,850,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
